duAn,huong,phapLy,noBed,soLau,Street,Precinct,District,acreage_value,price_value,noBathroom,price_per_area
Vinhomes Ocean Park,,Giấy chứng nhận quyền sở hữu đất,1.0,,,Xã Dương Xá,Huyện Gia Lâm,47.0,2.1,,44.680851063829785
Vinhomes Ocean Park,,Giấy chứng nhận quyền sở hữu đất,1.0,,,Xã Dương Xá,Huyện Gia Lâm,31.0,1.59,,51.29032258064516
The Pavilion,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,47.0,1.85,,39.361702127659576
Masteri Waterfront,,,1.0,,,,Huyện Gia Lâm,48.0,3.3,,68.75
The Zenpark,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,41.0,1.78,,43.41463414634146
Masteri Waterfront,,,1.0,,Đường Quốc Lộ 5,Xã Đa Tốn,Huyện Gia Lâm,28.0,1.6,,57.142857142857146
The Zenpark,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,45.0,1.78,,39.55555555555556
Vinhomes Ocean Park,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,30.0,0.9,,30.0
Vinhomes Ocean Park,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,46.0,1.3,,28.26086956521739
Vinhomes Ocean Park,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,46.0,1.28,,27.82608695652174
Vinhomes Ocean Park,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,28.0,1.05,,37.5
Vinhomes Ocean Park,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,47.0,2.05,,43.61702127659574
The Zenpark,,,1.0,,,,Huyện Gia Lâm,31.0,1.2,,38.70967741935484
The Zenpark,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,50.0,2.25,,45.0
Vinhomes Ocean Park,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,27.0,0.85,,31.48148148148148
The Zenpark,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,47.0,1.9,,40.42553191489362
The Zurich,,,1.0,,,Xã Đa Tốn,Huyện Gia Lâm,52.0,2.0,,38.46153846153846
Vinhomes Ocean Park,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,47.0,1.3,,27.659574468085108
The Zurich,,,1.0,,,Xã Đa Tốn,Huyện Gia Lâm,40.0,2.5,,62.5
Masteri Waterfront,,,1.0,,Đường Quốc Lộ 5,Xã Đa Tốn,Huyện Gia Lâm,43.0,2.1,,48.83720930232558
Vinhomes Ocean Park,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,43.0,1.47,,34.18604651162791
The Zenpark,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,30.0,1.29,,43.0
Vinhomes Ocean Park,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,47.0,1.3,,27.659574468085108
Vinhomes Ocean Park,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,25.0,1.28,,51.2
Vinhomes Ocean Park,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,46.0,1.3,,28.26086956521739
Vinhomes Ocean Park,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,30.0,0.9,,30.0
The Zenpark,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,45.0,1.9,,42.22222222222222
Vinhomes Ocean Park,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,47.0,1.35,,28.72340425531915
Vinhomes Ocean Park,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,46.0,1.73,,37.608695652173914
Vinhomes Ocean Park,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,28.0,1.05,,37.5
Vinhomes Ocean Park,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,47.0,1.3,,27.659574468085108
Vinhomes Ocean Park,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,31.0,0.95,,30.64516129032258
Vinhomes Ocean Park,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,25.0,1.1,,44.0
Vinhomes Ocean Park,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,43.0,1.4,,32.55813953488372
Vinhomes Ocean Park,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,33.0,1.04,,31.515151515151516
Vinhomes Ocean Park,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,48.0,1.47,,30.625
Vinhomes Ocean Park,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,43.0,1.4,,32.55813953488372
The Zenpark,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,50.0,1.97,,39.4
The Zenpark,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,49.0,1.97,,40.204081632653065
The Pavilion,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,47.0,1.8,,38.297872340425535
Vinhomes Ocean Park,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,43.0,1.45,,33.72093023255814
